,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
MA_fish-crusts_cd_oumv,89,-341.5315527,-763.1565619,420.0753306,892.9120119,0,0.997586185
MA_FC-SW_cd_oum,81,-359.027955,-760.3745,400.2945682,906.0519961,13.13998421,0.001398425
MA_bigbulky_cd_oum,81,-360.0115409,-762.7337689,402.5183165,908.0191678,15.10715598,0.000522966
MA_snakes-worms_cd_oumv,89,-350.5500469,-761.5586445,413.6264315,910.9490003,18.03698848,0.000120856
MA_snakes-eels_cd_oum,82,-360.3275665,-761.2151775,402.8147138,911.3453291,18.43331727,9.91303E-05
MA_nolimbs_cd_oum,81,-362.2003861,-762.6826851,400.6688809,912.3968584,19.48484651,5.85962E-05
MA_tet-fish_cd_oum,82,-360.9193275,-763.0339229,401.2978304,912.5288511,19.61683918,5.4854E-05
MA_9cats_cd_oum,83,-360.0455097,-761.0325973,403.1568254,913.4859113,20.57389943,3.39926E-05
MA_FC-SW_cd_oumv,87,-354.6611352,-761.227398,409.271908,913.6430624,20.73105058,3.14239E-05
MA_FC-nolimbs_cd_oum,81,-363.0303855,-761.3092008,399.4125415,914.0568572,21.14484531,2.55509E-05
MA_eels-worms_cd_oumv,89,-352.2017597,-762.0730261,412.0649878,914.252426,21.34041409,2.31707E-05
MA_snakes-worms_cd_oum,82,-362.2541296,-762.2851532,400.8481782,915.1984552,22.28644336,1.44381E-05
MA_shapesize_cd_oum,79,-366.7129322,-765.0235282,396.2554669,916.0652405,23.15322867,9.36032E-06
MA_bigbulkybugs_cd_oum,80,-365.4744289,-760.8695388,399.356863,916.2613578,23.34934589,8.48603E-06
MA_fish-crusts_cd_oum,82,-362.8703265,-764.3667023,400.5820995,916.430849,23.51883716,7.7965E-06
MA_9cats_cd_oumv,91,-351.3828025,-761.2792049,411.6419782,918.1867626,25.27475077,3.24047E-06
MA_bigbulky-SW_cd_oum,80,-368.1853061,-763.0145027,395.1295908,921.6831121,28.77110027,5.64138E-07
MA_FC-nolimbs_cd_oumv,87,-359.2760835,-761.4278151,403.3422786,922.8729591,29.96094727,3.11181E-07
MA_tet-crusts_cd_oum,82,-366.4560238,-760.8672654,398.6520493,923.6022438,30.6902319,2.16098E-07
MA_eels-worms_cd_oum,82,-366.5691321,-763.3918923,397.9562071,923.8284603,30.91644848,1.92987E-07
MA_bigbulky-SW_cd_oumv,85,-362.7610444,-762.4020481,399.8534913,924.3583807,31.44636887,1.48067E-07
MA_shapesize_cd_oumv,83,-366.2094953,-762.1111665,397.6993559,925.8138826,32.90187078,7.15155E-08
MA_bigbulky_cd_oumv,87,-361.8099649,-760.2638614,398.2742825,927.9407218,35.02870994,2.46924E-08
MA_tet-fish_cd_oumv,89,-364.2730058,-760.9601248,397.6845931,938.3949182,45.48290636,1.32575E-10
MA_bigbulkybugs_cd_oumv,85,-370.1860211,-763.2213173,393.5925959,939.2083342,46.29632234,8.82738E-11
MA_bigbulky-SE_cd_oum,80,-377.150695,-763.0003948,384.065391,939.6138899,46.70187807,7.2072E-11
MA_nolimbs_cd_oumv,87,-368.6637036,-762.2464943,238.0407429,941.6481993,48.73618738,2.60628E-11
MA_FC-SE_cd_oumv,87,-368.8749777,-761.8696012,396.025625,942.0707475,49.15873564,2.10992E-11
MA_bigbulky-SE_cd_oumv,85,-371.8842293,-762.5913872,392.1426226,942.6047506,49.69273872,1.61551E-11
MA_FC-SE_cd_oum,81,-380.6371462,-763.473153,380.8345837,949.2703784,56.35836656,5.76616E-13
MA_tet-crusts_cd_oumv,89,-369.9180579,-762.4312034,391.3741785,949.6850223,56.77301042,4.68649E-13
MA_ingestionratio_cd_oum,79,-383.9324711,-763.0941775,379.3142243,950.5043184,57.59230655,3.11129E-13
MA_RQLgroup1_cd_oum,78,-385.2884497,-762.5845439,379.5790381,950.553553,57.64154116,3.03563E-13
MA_SEWB_cd_oum,80,-386.5157406,-761.9833729,377.5586946,958.3439811,65.43196927,6.17417E-15
MA_RQLgroup2_cd_oum,77,-395.8519889,-761.0671197,367.6299704,969.0282495,76.11623768,2.95474E-17
MA_ingestionratio_cd_oumv,83,-388.3170721,-761.0910588,375.8228973,970.0290362,77.1170243,1.79144E-17
MA_RQLgroup1_cd_oumv,81,-392.1504454,-763.070294,371.2473645,972.2969769,79.38496504,5.764E-18
MA_bigbulkybugs_cd_ouv,80,-394.8742737,-762.640501,370.1496099,975.0610475,82.14903563,1.44715E-18
MA_SEWB_cd_oumv,85,-392.1926635,-763.3651977,371.0046692,983.221619,90.30960712,2.44607E-20
MA_clades_cd_oumv,83,-395.2666876,-761.4088549,367.1831458,983.9282671,91.01625519,1.71799E-20
MA_RQLgroup3_cd_oum,76,-405.0573185,-764.5433135,359.2422044,984.7968075,91.88479565,1.11281E-20
MA_RQLgroup2_cd_oumv,79,-401.1854175,-763.6060981,362.2508287,985.0102112,92.09819935,1.00019E-20
MA_bigbulky-SW_cd_ouv,80,-407.4611509,-762.8119177,356.4031737,1000.234802,107.3227899,4.94428E-24
MA_tet-crusts_cd_ouv,82,-406.7555308,-762.1781589,357.9245144,1004.201258,111.2892457,6.80452E-25
MA_FC-SE_cd_ouv,81,-408.2589447,-762.7052899,355.1247083,1004.513976,111.6019636,5.81958E-25
MA_FC-SW_cd_ouv,81,-408.9804579,-763.0040268,355.0661468,1005.957002,113.0449899,2.82841E-25
MA_bigbulky-SE_cd_ouv,80,-410.4685409,-761.8145373,353.4673666,1006.249582,113.3375699,2.44349E-25
MA_fish-crusts_cd_ouv,82,-408.3480789,-763.3083917,356.4034069,1007.386354,114.474342,1.38409E-25
MA_bigbulky_cd_ouv,81,-412.7717855,-761.4955139,352.134876,1013.539657,120.6276453,6.38249E-27
MA_clades_cd_oum,79,-415.9030951,-762.397631,348.3625599,1014.445567,121.5335546,4.05765E-27
MA_snakes-eels_cd_oumv,89,-404.0314226,-762.1121959,357.4761608,1017.911752,124.9997399,7.17136E-28
MA_RQLgroup3_cd_oumv,77,-422.2893554,-759.5084864,340.0622248,1021.902983,128.9909708,9.74803E-29
MA_RQLgroup1_cd_ouv,78,-421.2392747,-762.5755833,342.5155088,1022.455203,129.5431912,7.39612E-29
MA_eels-worms_cd_ouv,82,-415.9631835,-761.6402632,348.2599407,1022.616563,129.7045513,6.82284E-29
MA_RQLgroup2_cd_ouv,77,-429.1242752,-762.3138245,335.4211895,1035.572822,142.6608103,1.04845E-31
MA_snakes-worms_cd_ouv,82,-422.6333804,-763.0970821,340.4469729,1035.956957,143.0449451,8.65237E-32
MA_snakes-eels_cd_ouv,82,-423.0033094,-762.8332615,341.8484967,1036.696815,143.784803,5.97692E-32
MA_SEWB_cd_ouv,80,-427.7582111,-762.2819033,336.173313,1040.828922,147.9169103,7.57184E-33
MA_RQLgroup3_cd_ouv,76,-433.7856267,-762.1994652,330.49856,1042.253424,149.3414121,3.71428E-33
MA_FC-SW_cd_bmv,80,-429.7011654,-762.6205099,332.9381261,1044.714831,151.8028189,1.08489E-33
MA_FC-SE_cd_bmv,80,-431.6855044,-761.554896,330.7071634,1048.683509,155.7714969,1.49142E-34
MA_9cats_cd_bmv,82,-429.0231087,-761.0201048,333.5170006,1048.736414,155.8244017,1.45248E-34
MA_FC-nolimbs_cd_bmv,80,-432.1159083,-761.3034163,331.4742371,1049.544317,156.6323048,9.6979E-35
MA_snakes-worms_cd_bmv,81,-431.4014749,-762.4365755,333.3469551,1050.799036,157.887024,5.17868E-35
MA_clades_cd_bmv,78,-436.4136976,-760.9630893,330.163352,1052.804049,159.892037,1.90036E-35
MA_tet-crusts_cd_bmv,81,-434.6826214,-760.4031715,328.0420336,1057.361329,164.449317,1.94641E-36
MA_RQLgroup1_cd_bmv,77,-440.9479809,-762.7358264,323.7797315,1059.220234,166.3082218,7.68385E-37
MA_snakes-eels_cd_bmv,81,-435.7124376,-761.015208,327.8989132,1059.420961,166.5089493,6.95011E-37
MA_SEWB_cd_bmv,79,-438.8958742,-764.2440427,326.41371,1060.431125,167.5191128,4.19409E-37
MA_shapesize_cd_bmv,78,-440.2412513,-762.6234434,324.0072183,1060.459156,167.5471444,4.13571E-37
MA_bigbulky_cd_bmv,80,-437.6596418,-760.5194915,325.2541373,1060.631784,167.7197717,3.79372E-37
MA_bigbulkybugs_cd_bmv,79,-439.2626224,-760.847088,324.2285897,1061.164621,168.2526092,2.90643E-37
MA_bigbulky-SE_cd_bmv,79,-439.6694447,-760.6455514,323.4144719,1061.978266,169.0662538,1.935E-37
MA_nolimbs_cd_bmv,80,-439.6514567,-763.6613681,324.0802845,1064.615413,171.7034015,5.17643E-38
MA_tet-fish_cd_bmv,81,-438.5476074,-760.7105247,326.1013294,1065.091301,172.1792891,4.08031E-38
MA_ingestionratio_cd_bmv,78,-443.9209685,-763.4321985,320.2958226,1067.818591,174.9065789,1.04344E-38
MA_fish-crusts_cd_bmv,81,-440.499876,-763.4944562,322.8900882,1068.995838,176.0838262,5.79206E-39
MA_null_ou1,75,-451.5193201,-781.0409439,328.0513847,1075.08893,182.1769185,2.75255E-40
MA_eels-worms_cd_bmv,81,-443.5562743,-762.8315187,322.0792347,1075.108635,182.1966228,2.72556E-40
MA_clades_cd_ouv,79,-446.5348123,-761.240078,316.9948027,1075.709001,182.796989,2.01878E-40
MA_bigbulky-SW_cd_bmv,79,-447.3927768,-761.3059477,316.5164037,1077.42493,184.512918,8.56011E-41
MA_FC-nolimbs_cd_ouv,81,-446.7427419,-764.5249148,326.9516251,1081.48157,188.5695581,1.12614E-41
MA_RQLgroup3_cd_bmv,75,-458.8099513,-762.2481563,305.6543902,1089.670193,196.7581809,1.87696E-43
MA_RQLgroup2_cd_bmv,76,-457.5000025,-762.2424285,306.8272702,1089.682176,196.7701637,1.86574E-43
MA_shapesize_cd_ouv,79,-454.5300547,-762.192785,304.6805724,1091.699486,198.7874738,6.80454E-44
MA_nolimbs_cd_ouv,81,-453.0385495,-761.6497914,310.3873849,1094.073185,201.1611731,2.07662E-44
MA_tet-fish_cd_ouv,82,-456.3050166,-762.803566,310.0453492,1103.300229,210.3882175,2.05935E-46
MA_9cats_cd_ouv,83,-459.3279459,-763.6599799,305.3577714,1112.050784,219.1387718,2.59162E-48
MA_ingestionratio_cd_ouv,79,-472.0973651,-760.6752408,291.783795,1126.834106,233.9220945,1.5974E-51
MA_null_bm1,74,-491.4170032,-778.9943308,288.3365863,1152.262578,259.3505659,4.80497E-57
MA_null_bmv,149,-440.223259,-793.979238,360.8391226,1279.349453,386.4374407,1.21654E-84
MA_null_oumv,151,-713.8460147,-801.5054844,84.17349298,1833.782732,940.8707204,4.9144E-205
MA_null_oum,150,-721.7160591,-808.7645177,84.15602984,1845.920806,953.0087942,1.1369E-207
MA_null_ouv,150,-726.2953349,-808.6755507,84.23305082,1855.079358,962.1673457,1.1667E-209
